Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs
Q9BXF3	reviewed	CECR2_HUMAN	Chromatin remodeling regulator CECR2 (Cat eye syndrome critical region protein 2)	CECR2 KIAA1740	Homo sapiens (Human)	1484	apoptotic DNA fragmentation [GO:0006309]; chromatin remodeling [GO:0006338]; cochlea development [GO:0090102]; cytoskeleton organization [GO:0007010]; cytoskeleton-dependent cytokinesis [GO:0061640]; execution phase of apoptosis [GO:0097194]; inner ear receptor cell stereocilium organization [GO:0060122]; neural fold formation [GO:0001842]; neural tube closure [GO:0001843]; single fertilization [GO:0007338]; vesicle-mediated transport [GO:0016192]	CERF complex [GO:0090537]; euchromatin [GO:0000791]; nucleus [GO:0005634]	CERF complex [GO:0090537]; euchromatin [GO:0000791]; nucleus [GO:0005634]; ATP-dependent chromatin remodeler activity [GO:0140658]; apoptotic DNA fragmentation [GO:0006309]; chromatin remodeling [GO:0006338]; cochlea development [GO:0090102]; cytoskeleton organization [GO:0007010]; cytoskeleton-dependent cytokinesis [GO:0061640]; execution phase of apoptosis [GO:0097194]; inner ear receptor cell stereocilium organization [GO:0060122]; neural fold formation [GO:0001842]; neural tube closure [GO:0001843]; single fertilization [GO:0007338]; vesicle-mediated transport [GO:0016192]	ATP-dependent chromatin remodeler activity [GO:0140658]	GO:0000791; GO:0001842; GO:0001843; GO:0005634; GO:0006309; GO:0006338; GO:0007010; GO:0007338; GO:0016192; GO:0060122; GO:0061640; GO:0090102; GO:0090537; GO:0097194; GO:0140658
Q9HBY0	reviewed	NOX3_HUMAN	NADPH oxidase 3 (EC 1.6.3.-) (Mitogenic oxidase 2) (MOX-2) (gp91phox homolog 3) (GP91-3)	NOX3 MOX2	Homo sapiens (Human)	568	defense response [GO:0006952]; detection of gravity [GO:0009590]; otolith development [GO:0048840]; superoxide anion generation [GO:0042554]; temperature homeostasis [GO:0001659]	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; NADPH oxidase complex [GO:0043020]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; NADPH oxidase complex [GO:0043020]; plasma membrane [GO:0005886]; superoxide-generating NAD(P)H oxidase activity [GO:0016175]; defense response [GO:0006952]; detection of gravity [GO:0009590]; otolith development [GO:0048840]; superoxide anion generation [GO:0042554]; temperature homeostasis [GO:0001659]	superoxide-generating NAD(P)H oxidase activity [GO:0016175]	GO:0001659; GO:0005737; GO:0005886; GO:0006952; GO:0009590; GO:0016175; GO:0042554; GO:0043020; GO:0048840; GO:0070062
Q9UNX4	reviewed	WDR3_HUMAN	WD repeat-containing protein 3	WDR3	Homo sapiens (Human)	943	maturation of SSU-rRNA [GO:0030490]; ribosomal small subunit biogenesis [GO:0042274]	nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; Pwp2p-containing subcomplex of 90S preribosome [GO:0034388]; small-subunit processome [GO:0032040]	nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; Pwp2p-containing subcomplex of 90S preribosome [GO:0034388]; small-subunit processome [GO:0032040]; RNA binding [GO:0003723]; snoRNA binding [GO:0030515]; maturation of SSU-rRNA [GO:0030490]; ribosomal small subunit biogenesis [GO:0042274]	RNA binding [GO:0003723]; snoRNA binding [GO:0030515]	GO:0003723; GO:0005654; GO:0005730; GO:0030490; GO:0030515; GO:0031965; GO:0032040; GO:0034388; GO:0042274
P25787	reviewed	PSA2_HUMAN	Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3)	PSMA2 HC3 PSC3	Homo sapiens (Human)	234	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; response to virus [GO:0009615]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, alpha-subunit complex [GO:0019773]; secretory granule lumen [GO:0034774]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, alpha-subunit complex [GO:0019773]; secretory granule lumen [GO:0034774]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; response to virus [GO:0009615]		GO:0000502; GO:0000932; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0009615; GO:0019773; GO:0034774; GO:0043161; GO:0070062; GO:1904813
P49720	reviewed	PSB3_HUMAN	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)	PSMB3	Homo sapiens (Human)	205	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]		GO:0000502; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0019774; GO:0043161; GO:0070062
Q9Y450	reviewed	HBS1L_HUMAN	HBS1-like protein (EC 3.6.5.-) (ERFS)	HBS1L HBS1 KIAA1038	Homo sapiens (Human)	684	nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; rescue of stalled ribosome [GO:0072344]; ribosome disassembly [GO:0032790]; signal transduction [GO:0007165]; translation [GO:0006412]	cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; Dom34-Hbs1 complex [GO:1990533]; extracellular exosome [GO:0070062]; membrane [GO:0016020]	cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; Dom34-Hbs1 complex [GO:1990533]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; molecular function activator activity [GO:0140677]; translation elongation factor activity [GO:0003746]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; rescue of stalled ribosome [GO:0072344]; ribosome disassembly [GO:0032790]; signal transduction [GO:0007165]; translation [GO:0006412]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; molecular function activator activity [GO:0140677]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0003924; GO:0005525; GO:0005829; GO:0006412; GO:0007165; GO:0016020; GO:0022626; GO:0032790; GO:0070062; GO:0070966; GO:0072344; GO:0140677; GO:1990533
P08708	reviewed	RS17_HUMAN	Small ribosomal subunit protein eS17 (40S ribosomal protein S17)	RPS17 RPS17L	Homo sapiens (Human)	135	cytoplasmic translation [GO:0002181]; erythrocyte homeostasis [GO:0034101]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; translation [GO:0006412]; translational initiation [GO:0006413]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; small-subunit processome [GO:0032040]; synapse [GO:0045202]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; small-subunit processome [GO:0032040]; synapse [GO:0045202]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; erythrocyte homeostasis [GO:0034101]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; translation [GO:0006412]; translational initiation [GO:0006413]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003723; GO:0003735; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0005840; GO:0005925; GO:0006364; GO:0006412; GO:0006413; GO:0016020; GO:0022626; GO:0022627; GO:0032040; GO:0034101; GO:0042274; GO:0045202
P52735	reviewed	VAV2_HUMAN	Guanine nucleotide exchange factor VAV2 (VAV-2)	VAV2	Homo sapiens (Human)	878	angiogenesis [GO:0001525]; cell migration [GO:0016477]; cellular response to xenobiotic stimulus [GO:0071466]; Fc-epsilon receptor signaling pathway [GO:0038095]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; lamellipodium assembly [GO:0030032]; platelet activation [GO:0030168]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; regulation of cell size [GO:0008361]; regulation of GTPase activity [GO:0043087]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]; small GTPase mediated signal transduction [GO:0007264]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; epidermal growth factor receptor binding [GO:0005154]; guanyl-nucleotide exchange factor activity [GO:0005085]; metal ion binding [GO:0046872]; phosphotyrosine residue binding [GO:0001784]; angiogenesis [GO:0001525]; cell migration [GO:0016477]; cellular response to xenobiotic stimulus [GO:0071466]; Fc-epsilon receptor signaling pathway [GO:0038095]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; lamellipodium assembly [GO:0030032]; platelet activation [GO:0030168]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; regulation of cell size [GO:0008361]; regulation of GTPase activity [GO:0043087]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]; small GTPase mediated signal transduction [GO:0007264]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	epidermal growth factor receptor binding [GO:0005154]; guanyl-nucleotide exchange factor activity [GO:0005085]; metal ion binding [GO:0046872]; phosphotyrosine residue binding [GO:0001784]	GO:0001525; GO:0001784; GO:0005085; GO:0005154; GO:0005737; GO:0005829; GO:0005886; GO:0007165; GO:0007264; GO:0008361; GO:0016477; GO:0030032; GO:0030168; GO:0038095; GO:0038096; GO:0043087; GO:0043552; GO:0046872; GO:0048010; GO:0051056; GO:0071466
Q8IZ69	reviewed	TRM2A_HUMAN	tRNA (uracil-5-)-methyltransferase homolog A (EC 2.1.1.35) (mRNA (uracil-5-)-methyltransferase TRMT2A) (EC 2.1.1.-)	TRMT2A	Homo sapiens (Human)	625	mRNA processing [GO:0006397]	cytosol [GO:0005829]	cytosol [GO:0005829]; C-methyltransferase activity [GO:0008169]; RNA binding [GO:0003723]; S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity [GO:0030697]; mRNA processing [GO:0006397]	C-methyltransferase activity [GO:0008169]; RNA binding [GO:0003723]; S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity [GO:0030697]	GO:0003723; GO:0005829; GO:0006397; GO:0008169; GO:0030697
Q9H3S3	reviewed	TMPS5_HUMAN	Transmembrane protease serine 5 (EC 3.4.21.-) (Spinesin)	TMPRSS5	Homo sapiens (Human)	457	proteolysis [GO:0006508]	neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]	neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; peptidase activity [GO:0008233]; scavenger receptor activity [GO:0005044]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	peptidase activity [GO:0008233]; scavenger receptor activity [GO:0005044]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0005044; GO:0005886; GO:0006508; GO:0008233; GO:0043025
Q9Y399	reviewed	RT02_HUMAN	Small ribosomal subunit protein uS2m (28S ribosomal protein S2, mitochondrial) (MRP-S2) (S2mt)	MRPS2 CGI-91	Homo sapiens (Human)	296	mitochondrial ribosome assembly [GO:0061668]; mitochondrial translation [GO:0032543]	mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]	mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]; structural constituent of ribosome [GO:0003735]; mitochondrial ribosome assembly [GO:0061668]; mitochondrial translation [GO:0032543]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005739; GO:0005743; GO:0005763; GO:0032543; GO:0061668
Q9Y5J7	reviewed	TIM9_HUMAN	Mitochondrial import inner membrane translocase subunit Tim9	TIMM9 TIM9 TIM9A TIMM9A	Homo sapiens (Human)	89	protein insertion into mitochondrial inner membrane [GO:0045039]; protein targeting to mitochondrion [GO:0006626]; sensory perception of sound [GO:0007605]	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial intermembrane space protein transporter complex [GO:0042719]; mitochondrion [GO:0005739]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial intermembrane space protein transporter complex [GO:0042719]; mitochondrion [GO:0005739]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]; membrane insertase activity [GO:0032977]; protein homodimerization activity [GO:0042803]; protein-folding chaperone binding [GO:0051087]; zinc ion binding [GO:0008270]; protein insertion into mitochondrial inner membrane [GO:0045039]; protein targeting to mitochondrion [GO:0006626]; sensory perception of sound [GO:0007605]	membrane insertase activity [GO:0032977]; protein homodimerization activity [GO:0042803]; protein-folding chaperone binding [GO:0051087]; zinc ion binding [GO:0008270]	GO:0005739; GO:0005743; GO:0005758; GO:0006626; GO:0007605; GO:0008270; GO:0032977; GO:0042719; GO:0042721; GO:0042803; GO:0045039; GO:0051087
